"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'Coverage test""","""'.github/workflows/Night_ALL_Coverage.yml""",0.00,14287296,3168,"""'self-hosted""","""'""",3
"""'Coverage test""","""'.github/workflows/Coverage.yml""",41.01,9335269,154939,"""'self-hosted""","""'""",178
"""'Windows-GPU / Build and test""","""'.github/workflows/CI-Windows.yml""",29.39,5804096,2639704,"""'self-hosted""","""'""",228
"""'Windows-Inference / Build and test""","""'.github/workflows/CI-Windows.yml""",19.65,5538716,82829,"""'self-hosted""","""'""",229
"""'Linux-DCU / Test""","""'.github/workflows/CI.yml""",19.19,5342723,9245,"""'self-hosted""","""'""",172
"""'PR-CI-SOT / Build and Test""","""'.github/workflows/CI.yml""",11.82,5316709,702257,"""'self-hosted""","""'""",203
"""'Coverage build""","""'.github/workflows/Coverage.yml""",9.33,4964951,640513,"""'self-hosted""","""'""",225
"""'Coverage build""","""'.github/workflows/Night_ALL_Coverage.yml""",0.00,4563015,4870,"""'self-hosted""","""'""",3
"""'Linux-XPU / Build""","""'.github/workflows/CI.yml""",4.52,3554711,3579836,"""'self-hosted""","""'""",199
"""'Linux-DCU / Build""","""'.github/workflows/CI.yml""",7.62,3506081,404630,"""'self-hosted""","""'""",210
"""'Linux-build / Build""","""'.github/workflows/CI-Build.yml""",8.21,3469623,667399,"""'self-hosted""","""'""",207
"""'Auto-Parallel / Parallel test""","""'.github/workflows/CI-Build.yml""",20.23,2900450,2124870,"""'self-hosted""","""'""",173
"""'Coverage build""","""'.github/workflows/H-Coverage.yml""",29.84,2874625,638007,"""'self-hosted""","""'""",248
"""'Distribute-stable-build / Build""","""'.github/workflows/CI.yml""",10.53,2764066,633673,"""'self-hosted""","""'""",209
"""'Distribute-stable / Build""","""'.github/workflows/CI.yml""",0.00,2755627,1665850,"""'self-hosted""","""'""",5
"""'Api benchmark build / Build""","""'.github/workflows/Api-Benchmark-baseline.yml""",0.00,2581984,3566,"""'self-hosted""","""'""",3
"""'Linux-CPU / Build and test""","""'.github/workflows/CI.yml""",18.96,2221130,700479,"""'self-hosted""","""'""",211
