"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'Single card test""","""'.github/workflows/Test.yml""",1754,143,"""'self-hosted""","""'"""
"""'Integration test (H20)""","""'.github/workflows/Test.yml""",1450,186,"""'self-hosted""","""'"""
"""'Multi-card test""","""'.github/workflows/Test.yml""",1090,183,"""'self-hosted""","""'"""
"""'Integration test (A100)""","""'.github/workflows/Test.yml""",585,170,"""'self-hosted""","""'"""
"""'Publish wheel nightly (CUDA12.6)""","""'.github/workflows/publish_wheel_nightly.yml""",527,3,"""'self-hosted""","""'"""
"""'Publish wheel nightly (CUDA12.9)""","""'.github/workflows/publish_wheel_nightly.yml""",400,3,"""'self-hosted""","""'"""
"""'Check bypass / Check bypass""","""'.github/workflows/Test.yml""",196,196,"""'hosted""","""'ubuntu-latest"""
"""'Check approval""","""'.github/workflows/Approval.yml""",193,193,"""'hosted""","""'ubuntu-latest"""
"""'Codestyle Check""","""'.github/workflows/Codestyle-Check.yml""",190,187,"""'hosted""","""'ubuntu-latest"""
"""'Remove skip-ci labels on new commits""","""'.github/workflows/remove-skip-ci-labels.yml""",179,179,"""'hosted""","""'ubuntu-latest"""
"""'Coverage Upload And Check""","""'.github/workflows/Test.yml""",50,50,"""'hosted""","""'ubuntu-latest"""
"""'Agent""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",12,4,"""'hosted""","""'ubuntu-latest"""
"""'CodeQL analysis (python)""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",6,3,"""'hosted""","""'ubuntu-latest"""
"""'Prepare""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'Upload results""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",4,4,"""'hosted""","""'ubuntu-latest"""
"""'Cleanup artifacts""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",4,4,"""'hosted""","""'ubuntu-latest"""
