"""'Job""","""'Workflow""","""'Failure rate""","""'Avg run time""","""'Avg queue time""","""'Runner type""","""'Runner labels""","""'Job runs"""
"""'Coverage test""","""'.github/workflows/Night_ALL_Coverage.yml""",0.00,14256969,3345,"""'self-hosted""","""'""",2
"""'Coverage test""","""'.github/workflows/Coverage.yml""",37.42,9263481,176461,"""'self-hosted""","""'""",155
"""'Windows-GPU / Build and test""","""'.github/workflows/CI-Windows.yml""",25.40,5998058,3120826,"""'self-hosted""","""'""",189
"""'Windows-Inference / Build and test""","""'.github/workflows/CI-Windows.yml""",16.40,5747298,98813,"""'self-hosted""","""'""",189
"""'PR-CI-SOT / Build and Test""","""'.github/workflows/CI.yml""",9.83,5484832,815096,"""'self-hosted""","""'""",173
"""'Linux-DCU / Test""","""'.github/workflows/CI.yml""",14.97,5281363,10144,"""'self-hosted""","""'""",147
"""'Coverage build""","""'.github/workflows/Coverage.yml""",8.11,5111457,769723,"""'self-hosted""","""'""",185
"""'Coverage build""","""'.github/workflows/Night_ALL_Coverage.yml""",0.00,4300969,5611,"""'self-hosted""","""'""",2
"""'Linux-XPU / Build""","""'.github/workflows/CI.yml""",4.19,3594894,4067313,"""'self-hosted""","""'""",167
"""'Linux-build / Build""","""'.github/workflows/CI-Build.yml""",6.82,3515728,774601,"""'self-hosted""","""'""",176
"""'Linux-DCU / Build""","""'.github/workflows/CI.yml""",5.17,3437253,481149,"""'self-hosted""","""'""",174
"""'Coverage build""","""'.github/workflows/H-Coverage.yml""",28.23,2986928,749910,"""'self-hosted""","""'""",209
"""'Auto-Parallel / Parallel test""","""'.github/workflows/CI-Build.yml""",17.45,2911521,2374338,"""'self-hosted""","""'""",149
"""'Distribute-stable-build / Build""","""'.github/workflows/CI.yml""",7.39,2833435,747947,"""'self-hosted""","""'""",176
"""'Distribute-stable / Build""","""'.github/workflows/CI.yml""",0.00,2755627,1665850,"""'self-hosted""","""'""",5
"""'Api benchmark build / Build""","""'.github/workflows/Api-Benchmark-baseline.yml""",0.00,2594425,3490,"""'self-hosted""","""'""",2
"""'PR-CI-Inference / Build""","""'.github/workflows/CI-Build.yml""",6.56,2247812,763673,"""'self-hosted""","""'""",183
"""'Linux-CPU / Build and test""","""'.github/workflows/CI.yml""",18.13,2241186,804653,"""'self-hosted""","""'""",182
"""'Windows-OPENBLAS / Build and test""","""'.github/workflows/CI-Windows.yml""",40.09,2129961,3114,"""'self-hosted""","""'""",232
"""'Linux-XPU / Test""","""'.github/workflows/CI.yml""",11.97,1731828,652252,"""'self-hosted""","""'""",142
"""'Coverage test""","""'.github/workflows/H-Coverage.yml""",25.17,1462318,26734,"""'self-hosted""","""'""",151
"""'Slice build / Build""","""'.github/workflows/Slice-baseline.yml""",0.00,1451653,4874535,"""'self-hosted""","""'""",1
"""'Api-Benchmark / Performance data storage""","""'.github/workflows/CI-Build.yml""",6.25,1402185,622592,"""'self-hosted""","""'self-hosted, api-bm""",144
"""'Model-Benchmark / Benchmark test""","""'.github/workflows/CI-Build.yml""",19.75,1398411,97788,"""'self-hosted""","""'""",157
"""'Api benchmark baseline with schedule (api-bm-20) / Performance data storage""","""'.github/workflows/Api-Benchmark-baseline.yml""",0.00,1388988,3326,"""'self-hosted""","""'self-hosted, api-bm-20""",2
"""'CE-Framework / Infer""","""'.github/workflows/CI-Build.yml""",1.37,1207669,176068,"""'self-hosted""","""'""",146
"""'Mac-CPU / Build and test""","""'.github/workflows/CI.yml""",14.52,1120323,92881,"""'self-hosted""","""'""",186
"""'CE-Framework / Test""","""'.github/workflows/CI-Build.yml""",7.43,870307,184153,"""'self-hosted""","""'""",148
"""'Distribute-stable-test / Test""","""'.github/workflows/CI.yml""",30.30,551356,205405,"""'self-hosted""","""'""",165
"""'CodeQL analysis (python)""","""'dynamic/copilot-pull-request-reviewer/copilot-pull-request-reviewer""",0.00,548455,4360,"""'hosted""","""'ubuntu-latest""",1
