"""'Job""","""'Workflow""","""'Total minutes""","""'Job runs""","""'Runner type""","""'Runner labels"""
"""'Coverage test""","""'.github/workflows/Coverage.yml""",24010,155,"""'self-hosted""","""'"""
"""'Windows-GPU / Build and test""","""'.github/workflows/CI-Windows.yml""",18988,189,"""'self-hosted""","""'"""
"""'Windows-Inference / Build and test""","""'.github/workflows/CI-Windows.yml""",18203,189,"""'self-hosted""","""'"""
"""'PR-CI-SOT / Build and Test""","""'.github/workflows/CI.yml""",15904,173,"""'self-hosted""","""'"""
"""'Coverage build""","""'.github/workflows/Coverage.yml""",15848,185,"""'self-hosted""","""'"""
"""'Linux-DCU / Test""","""'.github/workflows/CI.yml""",13012,147,"""'self-hosted""","""'"""
"""'Coverage build""","""'.github/workflows/H-Coverage.yml""",10510,209,"""'self-hosted""","""'"""
"""'Linux-build / Build""","""'.github/workflows/CI-Build.yml""",10405,176,"""'self-hosted""","""'"""
"""'Linux-XPU / Build""","""'.github/workflows/CI.yml""",10093,167,"""'self-hosted""","""'"""
"""'Linux-DCU / Build""","""'.github/workflows/CI.yml""",10058,174,"""'self-hosted""","""'"""
"""'Distribute-stable-build / Build""","""'.github/workflows/CI.yml""",8397,176,"""'self-hosted""","""'"""
"""'Windows-OPENBLAS / Build and test""","""'.github/workflows/CI-Windows.yml""",8340,232,"""'self-hosted""","""'"""
"""'Auto-Parallel / Parallel test""","""'.github/workflows/CI-Build.yml""",7304,149,"""'self-hosted""","""'"""
"""'PR-CI-Inference / Build""","""'.github/workflows/CI-Build.yml""",6951,183,"""'self-hosted""","""'"""
"""'Linux-CPU / Build and test""","""'.github/workflows/CI.yml""",6895,182,"""'self-hosted""","""'"""
"""'Linux-XPU / Test""","""'.github/workflows/CI.yml""",4170,142,"""'self-hosted""","""'"""
"""'Coverage test""","""'.github/workflows/H-Coverage.yml""",3753,151,"""'self-hosted""","""'"""
"""'Model-Benchmark / Benchmark test""","""'.github/workflows/CI-Build.yml""",3740,157,"""'self-hosted""","""'"""
"""'Mac-CPU / Build and test""","""'.github/workflows/CI.yml""",3561,186,"""'self-hosted""","""'"""
"""'Api-Benchmark / Performance data storage""","""'.github/workflows/CI-Build.yml""",3420,144,"""'self-hosted""","""'self-hosted, api-bm"""
"""'CE-Framework / Infer""","""'.github/workflows/CI-Build.yml""",3024,146,"""'self-hosted""","""'"""
"""'CE-Framework / Test""","""'.github/workflows/CI-Build.yml""",2230,148,"""'self-hosted""","""'"""
"""'Distribute-stable-test / Test""","""'.github/workflows/CI.yml""",1597,165,"""'self-hosted""","""'"""
"""'Linux-NPU / Test""","""'.github/workflows/CI.yml""",1179,127,"""'self-hosted""","""'"""
"""'PR-CI-Inference / Test""","""'.github/workflows/CI-Build.yml""",1168,154,"""'self-hosted""","""'"""
"""'Slice / Slice test""","""'.github/workflows/CI-Build.yml""",1160,190,"""'self-hosted""","""'"""
"""'Doc-Preview / Build doc""","""'.github/workflows/CI-Build.yml""",1104,140,"""'self-hosted""","""'"""
"""'Static-Check / Test""","""'.github/workflows/CI-Build.yml""",934,168,"""'self-hosted""","""'"""
"""'Distribute-stable-formers / formers-Test""","""'.github/workflows/CI.yml""",800,239,"""'self-hosted""","""'"""
"""'Coverage clone / Clone Paddle""","""'.github/workflows/Coverage.yml""",783,195,"""'self-hosted""","""'"""
"""'Coverage clone / Clone Paddle""","""'.github/workflows/H-Coverage.yml""",749,187,"""'self-hosted""","""'"""
"""'Clone-linux / Clone Paddle""","""'.github/workflows/CI-Build.yml""",730,191,"""'self-hosted""","""'"""
"""'Clone-linux / Clone Paddle""","""'.github/workflows/CI.yml""",728,190,"""'self-hosted""","""'"""
"""'CE-CINN-Framework / CINN""","""'.github/workflows/CI-Build.yml""",543,143,"""'self-hosted""","""'"""
