job,workflow,total_minutes,job_runs,failure_rate,avg_run_time,avg_queue_time
build-ce,.github/workflows/ce-build-wh.yml,35,35,2.86,32569,4456
Lint,.github/workflows/lint.yml,1112,248,11.29,243537,6140
model-unittest-gpu-ci,.github/workflows/model-unittest-gpu.yml,3265,143,24.48,1341593,3289225
review_request,.github/workflows/requirements-review.yml,38,38,100.0,6222,2653
re-run,.github/workflows/rerun.yml,12,12,0.0,6279,2802
stale,.github/workflows/stale.yml,4,4,0.0,10638,2452
unittest-gpu-ci,.github/workflows/unittest-gpu.yml,1633,21,42.86,995609,5032458
unittest-gpu-ci,.github/workflows/unittest-gpu.yml,362,21,42.86,995609,5032458
unittest-gpu-ci,.github/workflows/unittest-gpu.yml,1633,164,49.39,566203,3272765
unittest-gpu-ci,.github/workflows/unittest-gpu.yml,362,164,49.39,566203,3272765
upload-coverage,.github/workflows/unittest-gpu.yml,106,106,24.53,14011,2705
